bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
587	NM_012276	chr19_GL949753v2_alt	-	314683	320663	315070	320594	8	314683,315413,318341,318900,319436,319896,320366,320560,	315264,315464,318644,319197,319736,320181,320402,320663,	0	LILRA4	cmpl	cmpl	1,1,1,1,1,1,1,0,
1042	NM_177980	chr20	+	59958422	60014529	59958726	60012730	18	59958422,59968966,59970081,59971961,59982922,59984638,59985000,59987452,59988903,59992377,59994249,59995832,59996630,59999585,60001342,60002812,60006712,60012526,	59958795,59969023,59970186,59972123,59983070,59984805,59985129,59987638,59989163,59992520,59994489,59996054,59996761,59999663,60001411,60002866,60006787,60014529,	0	CDH26	cmpl	cmpl	0,0,0,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0,
592	NM_001160184	chr1	+	966481	975865	966531	974575	15	966481,966703,970276,970520,970685,970878,971076,971323,972074,972287,972860,973499,973832,974315,974441,	966614,966803,970423,970601,970758,971006,971208,971404,972150,972424,973010,973640,974051,974364,975865,	0	PLEKHN1	cmpl	cmpl	0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,
919	NM_001278381	chr17	-	43875358	43907942	43877806	43904460	14	43875358,43879274,43879781,43880690,43881089,43881243,43881457,43882283,43882902,43883202,43898261,43904429,43906079,43907212,	43877983,43879403,43879984,43880852,43881158,43881349,43881589,43882511,43883052,43883355,43898380,43904493,43906151,43907942,	0	MPP2	cmpl	cmpl	0,0,1,1,1,0,0,0,0,0,1,0,-1,-1,
587	NM_001364241	chr5_KV575244v1_fix	-	380456	390875	381819	389408	14	380456,381819,382399,383142,383324,383787,384072,384262,384418,385543,387166,387516,389311,390591,	381233,381869,382492,383232,383384,383923,384185,384334,384597,385682,387310,387672,389439,390875,	0	HNRNPH1	cmpl	cmpl	-1,1,1,1,1,0,1,1,2,1,1,1,0,-1,
587	NM_001364239	chr5_KV575244v1_fix	-	380456	389676	381819	389408	14	380456,381819,382399,383142,383324,383787,384072,384262,384418,385543,387166,387516,389311,389555,	381233,381869,382492,383232,383384,383923,384206,384334,384597,385682,387310,387672,389439,389676,	0	HNRNPH1	cmpl	cmpl	-1,1,1,1,1,0,1,1,2,1,1,1,0,-1,
621	NM_001154458	chr16	-	4777605	4788345	4777796	4787645	9	4777605,4778085,4779689,4783461,4783648,4785806,4785979,4787479,4788279,	4777998,4778137,4779786,4783557,4783766,4785888,4786105,4787667,4788345,	0	SEPTIN12	cmpl	cmpl	2,1,0,0,2,1,1,0,-1,
181	NM_001146699	chr12	-	113816739	113966325	113823223	113966227	25	113816739,113823208,113844667,113858790,113914968,113918391,113920610,113924696,113927053,113937006,113939959,113942323,113945827,113946353,113947333,113948832,113950082,113952511,113955130,113957781,113959211,113959864,113960058,113962231,113966191,	113818186,113823321,113844788,113858896,113915085,113918447,113920690,113924757,113927229,113937136,113940160,113942434,113945924,113946475,113947464,113949036,113950154,113952590,113955211,113958050,113959404,113959903,113960178,113962414,113966325,	0	RBM19	cmpl	cmpl	-1,1,0,2,2,0,1,0,1,0,0,0,2,0,1,1,1,0,0,1,0,0,0,0,0,
959	NM_033626	chrX	+	49058965	49069858	49062276	49068112	10	49058965,49061958,49062234,49062467,49063860,49064369,49065035,49065453,49065746,49067175,	49059059,49062058,49062325,49062601,49064001,49064664,49065098,49065628,49065845,49069858,	0	CCDC120	cmpl	cmpl	-1,-1,0,1,0,0,1,1,2,2,
906	NM_033553	chr1	-	42162689	42164745	42162905	42164712	3	42162689,42163402,42164637,	42162970,42163610,42164745,	0	GUCA2A	cmpl	cmpl	1,0,0,
269	NM_017759	chr2	-	205993720	206086174	206004367	206063016	11	205993720,206007283,206009576,206017679,206019735,206028110,206046503,206056197,206062798,206063150,206085900,	206005533,206007441,206009794,206017813,206019845,206028335,206046612,206056943,206063045,206063244,206086174,	0	INO80D	cmpl	cmpl	1,2,0,1,2,2,1,2,0,-1,-1,
793	NM_080654	chr11	-	27348871	27363248	27350247	27363194	3	27348871,27357402,27362835,	27350439,27357541,27363248,	0	CCDC34	cmpl	cmpl	0,2,0,
1508	NM_022895	chr12	-	121000485	121016487	121004152	121016474	6	121000485,121005002,121006320,121010827,121011103,121016329,	121004489,121005093,121006394,121010926,121011146,121016487,	0	C12orf43	cmpl	cmpl	2,1,2,2,1,0,
593	NR_148960	chr1	+	1059733	1066453	1066453	1066453	4	1059733,1060279,1063078,1065829,	1059846,1060393,1063201,1066453,	0	LOC100288175	unk	unk	-1,-1,-1,-1,
998	NM_001304457	chr19	-	54250419	54257273	54250785	54257193	13	54250419,54252053,54252365,54252485,54252870,54254017,54254364,54254734,54255285,54256042,54256488,54256960,54257159,	54251169,54252106,54252403,54252549,54252987,54254068,54254415,54255037,54255582,54256315,54256773,54256996,54257273,	0	LILRB5	cmpl	cmpl	0,1,2,1,1,1,1,1,1,1,1,1,0,
861	NM_001144984	chr13	-	36222003	36297814	36227200	36283606	6	36222003,36248605,36253802,36254044,36283591,36297636,	36227381,36248682,36253856,36254143,36283702,36297814,	0	CCDC169	cmpl	cmpl	2,0,0,0,0,-1,
907	NM_001242778	chr8	+	42271301	42332459	42272182	42330979	21	42271301,42272082,42290155,42293442,42305186,42306342,42308900,42314321,42316209,42316709,42317656,42318551,42319269,42319584,42320734,42321895,42322053,42322346,42325969,42329123,42330913,	42271469,42272205,42290273,42293512,42305275,42306432,42309025,42314429,42316339,42316904,42317771,42318675,42319421,42319646,42320844,42321945,42322153,42322494,42326097,42329214,42332459,	0	IKBKB	cmpl	cmpl	-1,0,2,0,1,0,0,2,2,0,0,1,2,1,0,2,1,2,0,2,0,
1736	NM_001256819	chr3	-	150926566	150972727	150941628	150972708	4	150926566,150941581,150943819,150972455,	150928201,150941761,150943991,150972727,	0	CLRN1	cmpl	cmpl	-1,2,1,0,
1142	NM_001351351	chr7	-	73021094	73028500	73022098	73027966	7	73021094,73022053,73022280,73024229,73025542,73026634,73027836,	73021200,73022158,73022524,73024315,73025601,73026853,73028500,	0	SPDYE17	cmpl	cmpl	-1,0,2,0,1,1,0,
593	NR_038869	chr1	+	1137016	1144054	1144054	1144054	3	1137016,1140824,1142738,	1137110,1141032,1144054,	0	LINC01342	unk	unk	-1,-1,-1,
1114	NM_133339	chr5	+	69371453	69414801	69371515	69414292	16	69371453,69373829,69374627,69381900,69384796,69386042,69386179,69386395,69389033,69391830,69393154,69393353,69396396,69400048,69410492,69414030,	69371557,69374087,69374711,69382057,69384933,69386095,69386305,69386465,69389145,69392013,69393240,69393500,69396546,69400169,69410550,69414801,	0	RAD17	cmpl	cmpl	0,0,0,0,1,0,2,2,0,1,1,0,0,0,1,2,
1559	NM_170600	chr9	-	127738316	127778666	127738745	127778627	12	127738316,127739681,127740257,127741787,127742848,127744563,127747146,127749210,127751171,127761610,127773989,127778590,	127738921,127739888,127740369,127741959,127742964,127745099,127747271,127749665,127751300,127761650,127774467,127778666,	0	SH2D3C	cmpl	cmpl	1,1,0,2,0,1,2,0,0,2,1,0,
2256	NM_001278296	chr2	-	219026547	219041516	219027472	219038536	12	219026547,219028200,219029402,219029985,219030688,219031105,219031488,219032469,219035479,219038374,219040518,219041487,	219028009,219028401,219029668,219030208,219030834,219031305,219031658,219032572,219035664,219038578,219040564,219041516,	0	CFAP65	cmpl	cmpl	0,0,1,0,1,2,0,2,0,0,-1,-1,
118	NM_007130	chrX	-	47445177	47482946	47447429	47467481	5	47445177,47455920,47456271,47467409,47482458,	47449474,47456016,47456398,47467760,47482946,	0	ZNF41	cmpl	cmpl	1,1,0,0,-1,
754	NM_007128	chr22	+	22244785	22245515	22244813	22245337	2	22244785,22244945,	22244859,22245515,	0	VPREB1	cmpl	cmpl	0,1,
2251	NM_007127	chr2	+	218419122	218453295	218423778	218449336	20	218419122,218423767,218424276,218425614,218427964,218428226,218429284,218429596,218429848,218430724,218431856,218432045,218432792,218434525,218435288,218436481,218437123,218438657,218440721,218449222,	218419168,218423853,218424351,218425811,218428073,218428337,218429487,218429675,218429947,218430878,218431957,218432183,218432951,218434705,218435434,218436626,218437312,218438726,218440862,218453295,	0	VIL1	cmpl	cmpl	-1,0,0,0,2,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,
671	NM_001142	chrX	+	11293412	11300761	11294788	11300612	6	11293412,11294776,11296778,11298235,11298547,11300606,	11293468,11294842,11296826,11298277,11298973,11300761,	0	AMELX	cmpl	cmpl	-1,0,0,0,0,0,
646	NM_001141	chr17	+	8039058	8049133	8039155	8048565	14	8039058,8039385,8039901,8042368,8042780,8044828,8045237,8045482,8046667,8046906,8047257,8047563,8047744,8048385,	8039302,8039605,8039983,8042491,8042884,8045001,8045384,8045686,8046754,8047076,8047379,8047664,8047915,8049133,	0	ALOX15B	cmpl	cmpl	0,0,1,2,2,1,0,0,0,0,2,1,0,0,
731	NM_001287387	chr22	-	19175580	19178505	19176129	19177858	9	19175580,19176420,19176577,19176845,19177119,19177726,19177941,19178132,19178386,	19176244,19176494,19176693,19176950,19177204,19177865,19178041,19178240,19178505,	0	SLC25A1	cmpl	cmpl	2,0,1,1,0,0,-1,-1,-1,
1757	NM_001318503	chrX	+	153647202	153651326	153647953	153650305	4	153647202,153647918,153649231,153649979,	153647425,153648326,153649687,153651326,	0	DUSP9	cmpl	cmpl	-1,0,1,1,
585	NM_001083539	chr19_KI270891v1_alt	-	1961	52618	21260	52581	12	1961,20595,21252,21266,21304,21767,44000,47220,49066,50479,51508,52547,	1975,21154,21264,21304,21305,21872,44051,47514,49366,50764,51544,52618,	0	KIR3DS1	cmpl	cmpl	-1,-1,2,0,1,1,1,1,1,1,1,0,
21	NM_001085354	chrX	-	106940737	107000212	106941551	106999969	17	106940737,106941975,106942514,106954912,106956479,106956935,106958335,106962011,106976583,106978079,106980890,106981344,106985095,106985982,106993229,106999676,106999867,	106941632,106942221,106943205,106955088,106956534,106957004,106958464,106962110,106976684,106978199,106981019,106981477,106985243,106986200,106993362,106999749,107000212,	0	MORC4	cmpl	cmpl	0,0,2,0,2,2,2,2,0,0,0,2,1,2,1,0,0,
792	NR_038831	chr7	+	27147162	27155928	27155928	27155928	3	27147162,27151574,27152293,	27147412,27151681,27155928,	0	HOXA-AS3	unk	unk	-1,-1,-1,
980	NR_038215	chr3	+	51817602	51818339	51818339	51818339	3	51817602,51817969,51818208,	51817762,51818071,51818339,	0	IQCF4P	unk	unk	-1,-1,-1,
980	NR_038214	chr3	+	51817602	51819635	51819635	51819635	3	51817602,51817969,51819193,	51817762,51818071,51819635,	0	IQCF4P	unk	unk	-1,-1,-1,
20	NM_001566	chr2	+	98444857	98581821	98520048	98581756	26	98444857,98518963,98519945,98520686,98533376,98535728,98536128,98537862,98538890,98539527,98543876,98545968,98546585,98548954,98552785,98554270,98555552,98559462,98563464,98564639,98565639,98566028,98568570,98572814,98576988,98581575,	98445085,98519025,98520154,98520731,98533495,98535845,98536208,98537974,98538981,98539675,98544007,98546073,98546694,98548969,98552969,98554489,98555691,98559495,98563637,98564763,98565766,98566169,98568668,98572927,98577143,98581821,	0	INPP4A	cmpl	cmpl	-1,-1,0,1,1,0,0,2,0,1,2,1,1,2,2,0,0,1,1,0,1,2,2,1,0,2,
594	NR_106784	chr1	-	1296109	1296170	1296170	1296170	1	1296109,	1296170,	0	MIR6726	unk	unk	-1,
594	NR_145806	chr1	-	1304728	1304812	1304812	1304812	1	1304728,	1304812,	0	SNORD167	unk	unk	-1,
74	NM_001346116	chr1	+	1308579	1311677	1308643	1311379	8	1308579,1308914,1309085,1309453,1309680,1310633,1310839,1311329,	1308720,1308972,1309273,1309603,1309851,1310688,1311071,1311677,	0	PUSL1	cmpl	cmpl	0,2,0,2,2,2,0,1,
74	NR_144369	chr1	+	1308579	1311677	1311677	1311677	7	1308579,1309085,1309453,1309680,1310633,1310908,1311329,	1308720,1309273,1309603,1309851,1310688,1311071,1311677,	0	PUSL1	unk	unk	-1,-1,-1,-1,-1,-1,-1,
135	NM_001193460	chr12	+	65278682	65466907	65308579	65463322	8	65278682,65306862,65308528,65326825,65328525,65368997,65453727,65463154,	65278865,65307026,65308655,65326934,65328603,65369026,65453825,65466907,	0	MSRB3	cmpl	cmpl	-1,-1,0,1,2,2,1,0,
135	NM_001193461	chr12	+	65278986	65466907	65308579	65463322	7	65278986,65308528,65326825,65328525,65368997,65453727,65463154,	65279071,65308655,65326934,65328603,65369026,65453825,65466907,	0	MSRB3	cmpl	cmpl	-1,0,1,2,2,1,0,
132	NM_001278268	chr18	+	62325309	62391285	62325352	62385034	10	62325309,62348167,62349811,62354390,62358289,62359954,62361679,62366707,62368700,62384750,	62325427,62348249,62349937,62354534,62358341,62360049,62361793,62366760,62369484,62391285,	0	TNFRSF11A	cmpl	cmpl	0,0,1,1,1,2,1,1,0,1,
954	NM_015933	chr3	+	48440256	48444208	48440296	48443882	4	48440256,48440402,48440540,48443847,	48440312,48440458,48440628,48444208,	0	TMA7	cmpl	cmpl	0,1,0,1,
595	NR_106785	chr1	-	1312501	1312566	1312566	1312566	1	1312501,	1312566,	0	MIR6727	unk	unk	-1,
1518	NM_001017928	chr3	-	122359590	122383231	122359868	122383224	5	122359590,122362967,122368175,122371674,122383173,	122359919,122363027,122368322,122371800,122383231,	0	CCDC58	cmpl	cmpl	0,0,0,0,0,
1121	NM_012390	chr4	+	70360759	70367158	70362115	70366994	3	70360759,70362101,70366643,	70360842,70362169,70367158,	0	SMR3A	cmpl	cmpl	-1,0,0,
144	NM_012383	chr9	+	75088513	75147265	75088692	75146741	10	75088513,75117503,75127568,75130577,75131769,75133293,75134345,75137537,75140833,75146682,	75088726,75117550,75127619,75130641,75131823,75133401,75134395,75137616,75140932,75147265,	0	OSTF1	cmpl	cmpl	0,1,0,0,1,1,1,0,1,1,
595	NR_106866	chr1	-	1339649	1339708	1339708	1339708	1	1339649,	1339708,	0	MIR6808	unk	unk	-1,
595	NM_001282584	chr1	-	1352688	1358794	1353603	1358504	9	1352688,1353847,1354029,1354192,1354353,1354681,1355243,1356680,1358455,	1353629,1353928,1354106,1354232,1354509,1355152,1355345,1356704,1358794,	0	MXRA8	cmpl	cmpl	1,1,2,1,1,1,1,1,0,
224	NM_001364157	chr5	-	158695921	159097956	158707568	159097244	17	158695921,158707567,158707978,158712153,158712969,158714116,158731068,158777412,158796344,158823175,158840028,159073395,159084665,159095619,159096342,159096973,159097224,	158699142,158707636,158708173,158712333,158713147,158714182,158731157,158777539,158796478,158823317,158840110,159073464,159084739,159095675,159096406,159097130,159097956,	0	EBF1	cmpl	cmpl	-1,1,1,1,0,0,1,0,1,0,2,2,0,1,0,2,0,
1083	NM_001128210	chr2	-	65310850	65366778	65313500	65366606	6	65310850,65316733,65331986,65334604,65344718,65366589,	65314169,65316883,65332051,65334773,65344896,65366778,	0	SPRED2	cmpl	cmpl	0,0,1,0,2,0,
199	NM_001371771	chr9	-	132725577	132879046	132725687	132875196	13	132725577,132727453,132792633,132814637,132823204,132826853,132828012,132828644,132854856,132863664,132866903,132875114,132878953,	132725925,132727534,132792775,132814727,132823336,132827054,132828084,132828726,132854925,132863778,132866953,132875199,132879046,	0	AK8	cmpl	cmpl	2,2,1,1,1,1,1,0,0,0,1,0,-1,
1262	NM_001323543	chr16	-	88813733	88856947	88814438	88837632	13	88813733,88818006,88822588,88824766,88826701,88831997,88835212,88835724,88836200,88837621,88840991,88841896,88856757,	88814525,88818124,88822710,88824869,88826838,88832101,88835352,88835849,88836267,88837765,88841094,88841971,88856947,	0	GALNS	cmpl	cmpl	0,2,0,2,0,1,2,0,2,0,-1,-1,-1,
1768	NM_153741	chr1	-	155139890	155140531	155139961	155140240	2	155139890,155140490,	155140245,155140531,	0	DPM3	cmpl	cmpl	0,-1,
769	NM_001281529	chr14	+	24136193	24138962	24136262	24138816	11	24136193,24136984,24137142,24137320,24137519,24137699,24138048,24138234,24138344,24138473,24138735,	24136301,24137017,24137205,24137431,24137565,24137797,24138117,24138263,24138399,24138560,24138962,	0	PSME1	cmpl	cmpl	0,0,0,0,0,1,0,0,2,0,0,
588	NM_001281529	chr14_KZ208920v1_fix	+	437171	439940	437240	439794	11	437171,437962,438120,438298,438497,438677,439026,439212,439322,439451,439713,	437279,437995,438183,438409,438543,438775,439095,439241,439377,439538,439940,	0	PSME1	cmpl	cmpl	0,0,0,0,0,1,0,0,2,0,0,
585	NR_110142	chr19_GL949749v2_alt	-	15192	38264	38264	38264	10	15192,16145,16282,16535,16643,22681,25776,32672,33063,38110,	15447,16183,16320,16563,16736,22770,25815,32957,33099,38264,	0	VSTM1	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
585	NR_110142	chr19_GL949750v2_alt	-	15192	38264	38264	38264	10	15192,16145,16282,16535,16643,22681,25776,32672,33063,38110,	15447,16183,16320,16563,16736,22770,25815,32957,33099,38264,	0	VSTM1	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
595	NR_015434	chr1	+	1399529	1402046	1402046	1402046	3	1399529,1400157,1400604,	1399689,1400303,1402046,	0	MRPL20-AS1	unk	unk	-1,-1,-1,
1287	NM_000786	chr7	-	92112155	92134477	92113664	92134364	10	92112155,92117043,92118519,92123119,92123733,92126252,92127504,92128879,92131773,92134172,	92113843,92117212,92118615,92123315,92123853,92126427,92127631,92129056,92131872,92134477,	0	CYP51A1	cmpl	cmpl	1,0,0,2,2,1,0,0,0,0,
10	NM_182481	chr21	+	10413531	10491615	10413739	10462886	10	10413531,10414810,10454133,10462835,10464861,10473027,10482739,10485617,10491245,10491539,	10413754,10414911,10454296,10463007,10464976,10473729,10482859,10485734,10491347,10491615,	0	BAGE3	cmpl	cmpl	0,0,2,0,-1,-1,-1,-1,-1,-1,
595	NR_125994	chr1	-	1430156	1434573	1434573	1434573	2	1430156,1434177,	1430954,1434573,	0	LINC01770	unk	unk	-1,-1,
